"","id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","reviews_per_month","availability_365"
"13975",39787176,"Bonita habitación  en piso acogedor zona  Aluche","Latina","Aluche",40.3893,-3.75875,"Private room",18,28,0.08,0
"13976",39789020,"Apartamento independiente-Junto IFEMA y AIRPORT","Hortaleza","Canillas",40.46706,-3.65039,"Private room",36,2,0.23,365
"13977",39789426,"APARTAMENTO independiente-Junto IFEMA y AIRPORT","Hortaleza","Canillas",40.46695,-3.65027,"Private room",39,2,0.52,90
"13978",39790519,"Aeropuerto Ifema Centro Loft","San Blas - Canillejas","Simancas",40.43827,-3.63029,"Entire home/apt",50,1,0,0
"13979",39793141,"Habitación cerca del centro de Madrid","Latina","Cármenes",40.40416,-3.74146,"Private room",16,2,1.31,14
"13980",39793165,"Apartamento Centro Madrid Plaza Mayor","Centro","Sol",40.41703,-3.70795,"Entire home/apt",194,2,0.06,0
"13981",39799648,"Habitación en el barrio de Lavapies","Centro","Embajadores",40.41147,-3.70207,"Private room",37,2,0.4,43
"13983",39800527,"Luxury Madrid Center","Chamberí","Trafalgar",40.43089,-3.70513,"Entire home/apt",256,1,0,365
"13984",39802989,"Habitaciones disponibles","Carabanchel","San Isidro",40.39704,-3.71861,"Private room",59,1,0,365
"13985",39806889,"Habitación privada en increíble ático con terraza.","Centro","Universidad",40.42108,-3.70707,"Private room",103,2,0.35,358
"13986",39809087,"Private room & bathroom in La Latina neighbourhood","Centro","Palacio",40.40822,-3.71358,"Private room",25,1,0.11,0
"13987",39810914,"Madrid center room, very comfortable with balcony","Centro","Palacio",40.4106,-3.70938,"Private room",26,1,0,349
"13988",39811080,"Madrid Center room, Interior space","Centro","Palacio",40.41868,-3.70875,"Private room",26,1,0.14,318
"13989",39811212,"Madrid Center Room, La Latina with balcony","Centro","Embajadores",40.40978,-3.70822,"Private room",26,1,0.06,318
"13990",39812369,"NICE CENTRIC ROOM","Chamberí","Gaztambide",40.43403,-3.71485,"Private room",60,5,0,0
"13991",39813692,"Habitación a 20 minutos del centro (Metro línea 1)","Tetuán","Berruguete",40.46259,-3.70225,"Private room",20,1,0.23,364
"13992",39815062,"Single room Alameda de Osuna-Madrid","Barajas","Alameda de Osuna",40.45269,-3.59246,"Private room",15,1,2.85,338
"13993",39815085,"Apartamento con encanto en el centro.","Arganzuela","Palos de Moguer",40.40526,-3.69975,"Entire home/apt",100,2,0.06,0
